stage,label,cn_n,cn_rate,en_n,en_rate,gap,ci_low,ci_high
0,Baseline,1382,0.984081041968162,4005,0.9902621722846442,-0.006181130316482153,-0.013447196058854253,0.0010849354258899461
1,Patch live,395,0.8860759493670886,1120,0.9901785714285715,-0.10410262206148291,-0.1359633781728372,-0.0722418659501286
2,Forum-to-message,138,0.8405797101449275,282,0.9964539007092199,-0.15587419056429241,-0.21734399961108442,-0.09440438151750041
3,Message-to-reversion,574,0.9651567944250871,880,0.9897727272727272,-0.024615932847640187,-0.04102505721545591,-0.008206808479824464
4,Post-reversion,1592,0.9899497487437185,1941,0.9881504379185987,0.0017993108251198597,-0.005069660024195355,0.008668281674435074
