stage,n0,rate0,se_rate0,n1,rate1,se_rate1,gap,gap_se,ci_low,ci_high
Baseline,4005,.99026215,.0015518834,1382,.98408103,.0033680296,-.0061811209,.0037083642,-.013449381,.0010871395
Patch live,1120,.99017859,.0029480106,395,.88607597,.016006451,-.10410261,.016275665,-.13600233,-.072202891
Forum-to-message,282,.99645388,.0035460992,138,.84057969,.031275261,-.15587419,.031475652,-.21756534,-.09418305
Message-to-reversion,880,.98977274,.003393542,574,.96515679,.0076609156,-.024615943,.0083788875,-.04103826,-.0081936261
Post-reversion,1941,.98815042,.0024567549,1592,.98994976,.0025006905,.001799345,.0035055811,-.0050714677,.0086701578
