stage,duration_hours,cn_n,cn_positive,cn_negative,cn_positive_per_hour,cn_negative_per_hour,en_n,en_positive,en_negative,en_positive_per_hour,en_negative_per_hour,cn_positive_per_100_en_reviews,cn_negative_per_100_en_reviews
harmful_before_public_commitment,74.5202777778,395,350,45,4.6967082040,0.6038624834,1120,1109,11,14.8818554234,0.1476108293,31.25,4.0178571429
forum_commitment_before_direct_message,27.2491666667,138,116,22,4.2570109178,0.8073641396,282,281,1,10.3122419646,0.0366983700,41.1347517730,7.8014184397
direct_message_before_live_reversion,89.7375,574,554,20,6.1735617774,0.2228722663,880,871,9,9.7060871988,0.1002925198,62.9545454545,2.2727272727
first_7d_after_live_reversion,168,1592,1576,16,9.3809523810,0.0952380952,1941,1918,23,11.4166666667,0.1369047619,81.1952601752,0.8243173622
