window,start,end_exclusive,start_hour,end_hour,mid_hour,duration_hours,cn_n,cn_positive,cn_negative,cn_rate,en_n,en_positive,en_negative,en_rate,cn_minus_en_gap,ci_low,ci_high
-48_to_-24h,2024-04-19T22:39:53+00:00,2024-04-20T22:39:53+00:00,-48,-24,-36,24,139,131,8,0.9424460432,359,357,2,0.9944289694,-0.0519829262,-0.0914592117,-0.0125066407
-24_to_0h,2024-04-20T22:39:53+00:00,2024-04-21T22:39:53+00:00,-24,0,-12,24,121,87,34,0.7190082645,332,324,8,0.9759036145,-0.2568953500,-0.3386662225,-0.1751244775
0_to_24h,2024-04-21T22:39:53+00:00,2024-04-22T22:39:53+00:00,0,24,12,24,130,109,21,0.8384615385,244,243,1,0.9959016393,-0.1574401009,-0.2212110136,-0.0936691882
24_to_48h,2024-04-22T22:39:53+00:00,2024-04-23T22:39:53+00:00,24,48,36,24,203,195,8,0.9605911330,283,283,0,1,-0.0394088670,-0.0661743025,-0.0126434315
