window,start,end_exclusive,start_hour,end_hour,mid_hour,duration_hours,cn_n,cn_positive,cn_negative,cn_rate,en_n,en_positive,en_negative,en_rate,cn_minus_en_gap
-72_to_-48h,2024-04-20T01:54:50+00:00,2024-04-21T01:54:50+00:00,-72,-48,-60,24,139,130,9,0.9352517986,339,334,5,0.9852507375,-0.0499989389
-48_to_-24h,2024-04-21T01:54:50+00:00,2024-04-22T01:54:50+00:00,-48,-24,-36,24,124,86,38,0.6935483871,345,339,6,0.9826086957,-0.2890603086
-24_to_0h,2024-04-22T01:54:50+00:00,2024-04-23T01:54:50+00:00,-24,0,-12,24,131,114,17,0.8702290076,222,222,0,1,-0.1297709924
0_to_24h,2024-04-23T01:54:50+00:00,2024-04-24T01:54:50+00:00,0,24,12,24,204,196,8,0.9607843137,292,291,1,0.9965753425,-0.0357910287
24_to_48h,2024-04-24T01:54:50+00:00,2024-04-25T01:54:50+00:00,24,48,36,24,176,168,8,0.9545454545,233,230,3,0.9871244635,-0.0325790080
48_to_72h,2024-04-25T01:54:50+00:00,2024-04-26T01:54:50+00:00,48,72,60,24,107,106,1,0.9906542056,230,227,3,0.9869565217,0.0036976839
72h_to_live,2024-04-26T01:54:50+00:00,2024-04-26T19:39:05+00:00,72,89.7375,80.86875,17.7375,87,84,3,0.9655172414,125,123,2,0.984,-0.0184827586
live_to_24h,2024-04-26T19:39:05+00:00,2024-04-27T19:39:05+00:00,89.7375,113.7375,101.7375,24,624,620,4,0.9935897436,316,313,3,0.9905063291,0.0030834145
